"BENCHMARKALTITUDE","BENCHMARKID","BENCHMARKLATITUDE","BENCHMARKLONGITUDE","DRONEALTITUDE","DRONELATITUDE","DRONELONGITUDE","UPDATETIMESTAMP"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872710050587","170.54656258394903","1754454300721"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872709833561","170.5465625378152","1754454300898"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587270961253","170.54656248072766","1754454301110"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872709403787","170.5465624387392","1754454301328"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587270917207","170.54656240952502","1754454301498"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872708942788","170.54656238459995","1754454301706"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872708762856","170.5465623395402","1754454301878"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727085918055","170.54656228407785","1754454302098"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727091126795","170.54656223676935","1754454302317"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872711838137","170.54656217416726","1754454302488"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727147469274","170.5465620979836","1754454302707"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872719422435","170.54656201042414","1754454302928"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727239384194","170.54656191254514","1754454303098"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872729930847","170.54656181377436","1754454303309"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872734724051","170.54656173135965","1754454303529"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727384844165","170.54656163234284","1754454303698"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727420371686","170.54656151014078","1754454303919"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727470875856","170.5465614093688","1754454304092"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872751732269","170.54656130397868","1754454304309"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727576302975","170.54656119525814","1754454304519"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872762181603","170.54656108455646","1754454304690"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727662479644","170.5465609650144","1754454304910"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587277224829","170.5465608217627","1754454305129"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872779901231","170.54656068246342","1754454305291"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872788145033","170.54656054752704","1754454305510"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587279448163","170.54656041720725","1754454305721"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727991842386","170.54656029775896","1754454305899"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587280319107","170.546560204241","1754454306119"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872808281987","170.54656010971811","1754454306280"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728119000936","170.54656001419013","1754454306501"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872814334775","170.54655991774183","1754454306710"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872816412471","170.54655981997243","1754454306881"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872819923396","170.54655972753187","1754454307101"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872822295582","170.54655966333024","1754454307319"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872823726982","170.54655961652801","1754454307481"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728243844276","170.54655956759274","1754454307698"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872825049368","170.54655953283634","1754454307930"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872827432","170.5465594853414","1754454308091"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872829640557","170.54655942740473","1754454308305"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728334189664","170.54655936040626","1754454308520"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728361259175","170.546559284534","1754454308696"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728385624936","170.5465592088266","1754454308910"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728431479015","170.54655914970175","1754454309081"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587284893293","170.54655908074673","1754454309301"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728532714","170.54655900347794","1754454309521"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872856397444","170.54655891910934","1754454309683"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872858483813","170.54655882850315","1754454309902"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728597381145","170.5465587318254","1754454310123"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728602522625","170.5465586301847","1754454310282"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872860868554","170.54655852522012","1754454310502"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872863299053","170.54655842477027","1754454310722"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858728648451525","170.54655834559645","1754454310894"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872865679892","170.54655826730206","1754454311112"
